All_Poverty,M_Poverty,F_Poverty,FIPS,Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,M_With,M_Without,F_With,F_Without,All_With,All_Without,fips_x,Incidence_Rate,Avg_Ann_Incidence,fips_y,Mortality_Rate,Avg_Ann_Deaths
3461,1459,2002,5037,38103.0,40965.0,21675.0,,58542.0,,6927,1358,7966,1005,14893,2363,5037,77.5,18.0,5037,75.7,17.0
1141,521,620,5039,34084.0,41102.0,26775.0,,48304.0,,3076,490,3215,559,6291,1049,5039,82.2,9.0,5039,74.0,9.0
4029,1628,2401,5041,27197.0,42783.0,17373.0,,,21678.0,4813,911,5534,1048,10347,1959,5041,79.2,13.0,5041,62.8,11.0
5023,2381,2642,5043,32819.0,43676.0,17469.0,,,27736.0,7468,1560,8028,1292,15496,2852,5043,77.3,17.0,5043,66.9,15.0
17768,7625,10143,5045,51223.0,55041.0,29229.0,,48721.0,35547.0,50314,7392,53062,7289,103376,14681,5045,75.9,78.0,5045,61.3,61.0
3854,1651,2203,5047,39285.0,39541.0,,35364.0,,13778.0,7539,1116,7827,1098,15366,2214,5047,77.1,19.0,5047,70.1,17.0
2383,1094,1289,5049,37066.0,36749.0,,21250.0,,21250.0,5109,849,5326,756,10435,1605,5049,64.7,14.0,5049,51.3,11.0
19802,9205,10597,5051,38733.0,40935.0,21917.0,31300.0,,29423.0,37960,8263,42017,7421,79977,15684,5051,80.6,121.0,5051,62.5,95.0
2134,943,1191,5053,46171.0,46808.0,28711.0,23462.0,,19091.0,7806,1002,8160,929,15966,1931,5053,96.1,21.0,5053,66.9,14.0
7572,3161,4411,5055,41286.0,41224.0,,52578.0,,36301.0,18199,3041,18855,2801,37054,5842,5055,89.2,45.0,5055,69.6,34.0
5940,2685,3255,5057,32122.0,37732.0,24145.0,,,20965.0,8639,2045,9584,1824,18223,3869,5057,60.6,17.0,5057,55.6,16.0
5975,2520,3455,5059,40000.0,42384.0,22794.0,,,35676.0,13038,2294,13930,2154,26968,4448,5059,94.2,41.0,5059,75.3,32.0
2910,1276,1634,5061,34229.0,40757.0,22636.0,,,34861.0,5307,1242,5610,1218,10917,2460,5061,96.2,16.0,5061,83.1,14.0
7783,3287,4496,5063,36265.0,36948.0,21810.0,2499.0,,30238.0,15227,2627,15939,2658,31166,5285,5063,82.3,38.0,5063,59.3,27.0
2663,1346,1317,5065,32630.0,32718.0,,,,71250.0,5407,912,5285,1083,10692,1995,5065,55.9,13.0,5065,48.4,11.0
3819,1759,2060,5067,31261.0,32459.0,22179.0,,,,6560,1207,5615,903,12175,2110,5067,104.4,24.0,5067,83.5,19.0
17205,7764,9441,5069,36747.0,46712.0,29051.0,,57330.0,23281.0,28435,4044,32557,4219,60992,8263,5069,97.5,84.0,5069,67.3,58.0
5574,2492,3082,5071,34139.0,35176.0,12500.0,33333.0,32917.0,30070.0,10777,1961,11377,1613,22154,3574,5071,97.2,29.0,5071,67.9,20.0
1731,692,1039,5073,31194.0,41726.0,18917.0,,,,2809,635,3106,588,5915,1223,5073,98.1,12.0,5073,76.8,9.0
3899,1796,2103,5075,32379.0,32373.0,,60469.0,,,6805,1419,7182,1309,13987,2728,5075,102.7,25.0,5075,82.3,20.0
2304,969,1335,5077,28393.0,38894.0,19779.0,,,,3231,875,3863,488,7094,1363,5077,57.0,8.0,5077,61.9,8.0
2257,1003,1254,5079,32580.0,41220.0,20252.0,,,30550.0,3666,768,4639,745,8305,1513,5079,63.4,10.0,5079,59.0,9.0
2402,1074,1328,5081,36205.0,39588.0,24578.0,110625.0,,,5288,1050,5384,837,10672,1887,5081,79.5,14.0,5081,56.6,11.0
4158,1995,2163,5083,35325.0,36390.0,25543.0,250001.0,34000.0,,9588,1364,9291,1510,18879,2874,5083,87.0,27.0,5083,70.4,22.0
8697,3814,4883,5085,53631.0,55487.0,25096.0,,65372.0,40500.0,29648,4044,31951,3462,61599,7506,5085,91.9,62.0,5085,72.3,49.0
3183,1329,1854,5087,37691.0,37747.0,,,,35128.0,6461,1384,6587,1199,13048,2583,5087,67.8,14.0,5087,58.5,12.0
3064,1345,1719,5089,34195.0,34137.0,,72431.0,,17788.0,6880,1224,7080,1120,13960,2344,5089,82.7,26.0,5089,72.5,22.0
